code,code1,code2,Name,aq_st,new_code,TOWNENG
101,1,1,taibeishisongshanqu,12;15;,63000010,Songshan District
102,1,2,taibeishixinyiqu,15;2;,63000020,Xinyi District
103,1,3,taibeishidaanqu,15;,63000030,Da'an District
104,1,4,taibeishizhongzhengqu,8;13;16;12;15;70;4;,63000050,Zhongzheng District
105,1,5,taibeishiwanhuaqu,13;,63000070,Wanhua District
106,1,6,taibeishidatongqu,16;,63000060,Datong District
107,1,7,taibeishizhongshanqu,12;,63000040,Zhongshan District
108,1,8,taibeishineihuqu,3;12;,63000100,Neihu District
109,1,9,taibeishinangangqu,3;2;,63000090,Nangang District
110,1,10,taibeishiwenshanqu,15;70;4;2;,63000080,Wenshan District
111,1,11,taibeishishilinqu,3;8;16;12;64;10;,63000110,Shilin District
112,1,12,taibeishibeitouqu,64;,63000120,Beitou District
201,2,1,gaoxiongshiyanchengqu,57;56;71;58;,64000010,Yancheng District
202,2,2,gaoxiongshigushanqu,57;54;56;71;58;,64000020,Gushan District
203,2,3,gaoxiongshizuoyingqu,54;,64000030,Zuoying District
204,2,4,gaoxiongshinanziqu,53;,64000040,Nanzi District
205,2,5,gaoxiongshisanminqu,71;,64000050,Sanmin District
206,2,6,gaoxiongshixinxingqu,56;58;71;57;,64000060,Xinxing District
207,2,7,gaoxiongshiqianjinqu,56;,64000070,Qianjin District
208,2,8,gaoxiongshilingyaqu,57;56;71;58;,64000080,Lingya District
209,2,9,gaoxiongshiqianzhenqu,57;,64000090,Qianzhen District
210,2,10,gaoxiongshiqijinqu,58;57;,64000100,Qijin District
211,2,11,gaoxiongshixiaogangqu,57;58;,64000110,Xiaogang District
1101,11,1,jilongshizhongxiqu,0;,10017010,Zhongzheng District
1102,11,2,jilongshiqiduqu,1;,10017020,Qidu District
1103,11,3,jilongshinuannuanqu,3;1;,10017030,Nuannuan District
1104,11,4,jilongshirenaiqu,1;,10017040,Ren'ai District
1105,11,5,jilongshizhongshanqu,1;,10017050,Zhongshan District
1106,11,6,jilongshianlequ,1;,10017060,Anle District
1107,11,7,jilongshixinyiqu,1;,10017070,Xinyi District
1200,12,0,xinzhushineiqu,24;,10018010,Xinzhushi Dongqu
1201,12,1,xinzhushibeiqu,24;,10018020,Xinzhushi Beiqu
1701,17,1,taizhongshizhongqu,31;,66000010,Central District
1702,17,2,taizhongshidongqu,30;31;,66000020,East District
1703,17,3,taizhongshixiqu,30;31;32;,66000040,West District
1704,17,4,taizhongshinanqu,31;,66000030,South District
1705,17,5,taizhongshibeiqu,31;32;,66000050,North District
1706,17,6,taizhongshixitunqu,28;31;32;29;,66000060,Xitun District
1707,17,7,taizhongshinantunqu,32;,66000070,Nantun District
1708,17,8,taizhongshibeitunqu,28;31;32;,66000080,Beitun District
2101,21,1,tainanshidongqu,46;,67000320,East District
2102,21,2,tainanshinanqu,46;,67000330,South District
2103,21,3,tainanshixiqu,46;,67000370,West Central District
2104,21,4,tainanshibeiqu,46;,67000340,North District
2106,21,6,tainanshiannanqu,45;46;,67000350,Annan District
2107,21,7,tainanshianpingqu,45;46;,67000360,Anping District
2200,22,0,jiayishizhongqu,42;,0,nul
2201,22,1,jiayishidongqu,42;,10020010,East District
2202,22,2,jiayishixiqu,42;,10020020,West District
3101,31,1,xinbeishibanqiaoqu,6;,65000010,Banqiao District
3102,31,2,xinbeishisanzhongqu,8;,65000020,Sanchong District
3103,31,3,xinbeishiyonghequ,70;,65000040,Yonghe District
3104,31,4,xinbeishizhonghequ,14;,65000030,Zhonghe District
3105,31,5,xinbeishixinzhuangqu,11;,65000050,Xinzhuang District
3106,31,6,xinbeishixindianqu,4;,65000060,Xindian District
3107,31,7,xinbeishishulinqu,7;,65000070,Shulin District
3108,31,8,xinbeishiyinggequ,17;7;5;9;,65000080,Yingge District
3109,31,9,xinbeishisanxiaqu,5;,65000090,Sanxia District
3110,31,10,xinbeishidanshuiqu,64;10;,65000100,Tamsui District
3111,31,11,xinbeishixizhiqu,3;,65000110,Xizhi District
3112,31,12,xinbeishiruifangqu,0;,65000120,Ruifang District
3113,31,13,xinbeishituchengqu,6;14;7;5;11;4;,65000130,Tucheng District
3114,31,14,xinbeishiluzhouqu,6;8;14;11;16;64;10;,65000140,Luzhou District
3115,31,15,xinbeishiwuguqu,10;,65000150,Wugu District
3116,31,16,xinbeishitaishanqu,6;8;11;5;9;10;,65000160,Taishan District
3117,31,17,xinbeishilinkouqu,5;9;10;,65000170,Linkou District
3118,31,18,xinbeishishenkengqu,2;,65000180,Shenkeng District
3119,31,19,xinbeishishidingqu,3;4;2;,65000190,Shiding District
3120,31,20,xinbeishipinglinqu,0;,65000200,Pinglin District
3121,31,21,xinbeishisanzhiqu,64;,65000210,Sanzhi District
3122,31,22,xinbeishishimenqu,64;,65000220,Shimen District
3123,31,23,xinbeishibaliqu,5;64;9;10;,65000230,Bali District
3124,31,24,xinbeishipingxiqu,3;1;,65000240,Pingxi District
3125,31,25,xinbeishishuangxiqu,0;,65000250,Shuangxi District
3126,31,26,xinbeishigongliaoqu,0;,65000260,Gongliao District
3127,31,27,xinbeishijinshanqu,64;,65000270,Jinshan District
