NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.43 ,3.43 ,0.00 ,0.00 ,3.43 ,3.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.43 ,3.43 ,3.43 ,0.00 ,0.00 ,0.00 ,0.00 
5,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.43 ,3.43 ,0.00 ,0.00 ,3.43 ,3.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.43 ,3.43 ,3.43 ,0.00 ,0.00 ,0.00 ,0.00 
7,A,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.20 ,1.20 ,1.20 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,0.00 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,1.20 ,0.00 
7,B,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.62 ,0.62 ,0.62 ,0.62 ,3.08 ,3.08 ,3.08 ,0.62 ,0.62 ,0.62 ,3.08 ,3.08 ,3.08 ,0.62 ,0.62 ,0.00 ,0.00 
9,A,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.20 ,1.20 ,1.20 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,0.00 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,1.20 ,0.00 
9,B,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.20 ,1.20 ,1.20 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,0.00 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,1.20 ,0.00 
10,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.20 ,1.20 ,1.20 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,0.00 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,1.20 ,0.00 
11,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.20 ,1.20 ,1.20 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,0.00 ,0.00 ,1.20 ,2.40 ,2.40 ,2.40 ,1.20 ,1.20 ,0.00 
39,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,3.00 ,3.00 ,3.00 ,1.50 ,0.00 ,1.50 ,3.00 ,3.00 ,3.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
43,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,3.00 ,3.00 ,3.00 ,1.50 ,0.00 ,1.50 ,3.00 ,3.00 ,3.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
