dict,x,y,name
4333,231000,2448000,pingdongxianmudanxiang
4511,309000,2685000,hualianxianxiulinxiang
4511,290000,2685000,hualianxianxiulinxiang
3301,272000,2739000,xinzhuxianguanxizhen
5300,315000,2648000,sea
3411,299000,2720000,yilanxiandatongxiang
3619,219000,2671000,taizhongshitaipingqu
4103,199000,2579000,tainanshibaihequ
4126,184000,2552000,tainanshizuozhenqu
4608,289000,2579000,taidongxianzhangbinxiang
4122,184000,2552000,tainanshishanshangqu
4215,170000,2530000,gaoxiongshiluzhuqu
4209,181000,2514000,gaoxiongshidashequ
4013,208000,2592000,jiayixianzhongbuxiang
4217,166000,2532000,gaoxiongshijiadingqu
4016,208000,2592000,jiayixianfanluxiang
4615,226000,2499000,taidongxianjinfengxiang
4113,185000,2569000,tainanshiliujiaqu
5300,151000,2641000,sea
4225,226000,2538000,gaoxiongshimaolinqu
4513,282000,2586000,hualianxianzhuoxixiang
5300,194000,2692000,sea
5300,364000,2719000,sea
5300,161000,2510000,sea
3808,234000,2647000,nantouxianzhongliaoxiang
4508,299000,2600000,hualianxianfengbinxiang
4117,157000,2565000,tainanshiqiguqu
4118,157000,2565000,tainanshijiangjunqu
4511,316000,2678000,hualianxianxiulinxiang
3810,239000,2665000,nantouxianguoxingxiang
4321,203000,2484000,pingdongxianjiadongxiang
5300,342000,2709000,sea
3412,330000,2703000,yilanxiannanaoxiang
3412,327000,2711000,yilanxiannanaoxiang
5300,339000,2791000,sea
4301,191000,2504000,pingdongxianpingdongshi
4602,288000,2562000,taidongxianchenggongzhen
3808,233000,2639000,nantouxianzhongliaoxiang
5300,335000,2686000,sea
4607,281000,2550000,taidongxiandonghexiang
3109,293000,2745000,xinbeishisanxiaqu
4214,181000,2531000,gaoxiongshialianqu
3913,170000,2630000,yunlinxianmailiaoxiang
4503,291000,2596000,hualianxianyulizhen
5300,144000,2621000,sea
3813,255000,2649000,nantouxianrenaixiang
3129,300000,2746000,xinbeishiwulaiqu
3511,254000,2716000,miaolixiannanzhuangxiang
4511,292000,2687000,hualianxianxiulinxiang
4010,177000,2586000,jiayixianlucaoxiang
4615,233000,2504000,taidongxianjinfengxiang
3411,302000,2710000,yilanxiandatongxiang
5300,161000,2504000,sea
3611,238000,2671000,taizhongshixinshequ
5300,248000,2780000,sea
3212,264000,2766000,taoyuanshiguanyinqu
4105,164000,2564000,tainanshijialiqu
3207,282000,2768000,taoyuanshiguishanqu
3201,282000,2768000,taoyuanshitaoyuanqu
3517,246000,2720000,miaolixianshitanxiang
3516,246000,2720000,miaolixiansanwanxiang
