NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,,,,,,
1,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
5,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
7,A,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
7,B,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
9,A,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
9,B,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
10,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
11,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
39,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
43,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
44,A,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
44,B,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
45,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,2102,臺南機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4012,嘉義機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4401,馬公機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4405,望安機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4406,七美機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4501,花蓮機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4601,臺東機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4611,綠島機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,4616,蘭嶼機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,5004,金門機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,5101,南竿機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
48,,5102,北竿機場,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
50,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,0202,高雄港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,1101,基隆港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,2107,安平港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3112,深澳專用油港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3123,臺北港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3206,沙崙外海卸油浮筒,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3403,蘇澳港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3606,臺中港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,3913,麥寮港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4002,布袋港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4215,興達電廠卸煤碼頭,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4216,永安液化天然氣接收站,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4401,馬公港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4501,花蓮港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,4511,和平港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,5002,金門港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
51,,5101,馬祖港,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,
