NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12
1,,,,1.28 ,1.07 ,1.07 ,1.01 ,0.82 ,0.85 ,0.90 ,0.87 ,1.04 ,0.88 ,1.00 ,1.21 
5,,,,1.14 ,1.20 ,1.29 ,1.22 ,1.13 ,0.97 ,0.88 ,0.76 ,0.75 ,0.76 ,0.89 ,1.02 
7,A,,,1.28 ,1.04 ,1.06 ,1.02 ,0.87 ,0.89 ,0.93 ,0.90 ,1.01 ,0.88 ,0.98 ,1.14 
7,B,0100,臺北市,1.01 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,0.99 ,1.03 ,1.00 ,1.03 
7,B,0200,高雄市,1.01 ,0.91 ,1.01 ,0.98 ,1.02 ,0.98 ,1.02 ,1.02 ,0.99 ,1.03 ,1.00 ,1.03 
7,B,1100,基隆市,1.02 ,0.91 ,1.02 ,0.99 ,1.02 ,0.97 ,1.01 ,1.02 ,0.99 ,1.03 ,0.99 ,1.03 
7,B,1200,新竹市,1.00 ,0.91 ,1.01 ,0.98 ,1.01 ,0.97 ,1.02 ,1.02 ,1.00 ,1.03 ,1.00 ,1.04 
7,B,1700,臺中市,1.00 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,1.00 ,1.03 ,1.00 ,1.05 
7,B,2100,臺南市,1.01 ,0.92 ,1.02 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.03 
7,B,2200,嘉義市,1.01 ,0.92 ,1.01 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
7,B,3100,新北市,1.00 ,0.90 ,1.00 ,0.97 ,1.01 ,0.98 ,1.02 ,1.03 ,1.00 ,1.04 ,1.01 ,1.04 
7,B,3200,桃園市,1.00 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,1.00 ,1.03 ,1.00 ,1.05 
7,B,3300,新竹縣,0.99 ,0.89 ,1.00 ,0.97 ,1.01 ,0.98 ,1.02 ,1.03 ,1.00 ,1.04 ,1.01 ,1.05 
7,B,3400,宜蘭縣,1.00 ,0.91 ,1.01 ,0.98 ,1.02 ,0.99 ,1.03 ,1.03 ,0.99 ,1.03 ,1.00 ,1.04 
7,B,3500,苗栗縣,1.01 ,0.91 ,1.01 ,0.99 ,1.01 ,0.98 ,1.02 ,1.02 ,0.99 ,1.03 ,1.00 ,1.03 
