id,tit,lev,parent_id
0,7.1 物化環境,1,
1,7.1.1  空氣品質,2,0
2,一、施工期間,3,1
3,(一) 空氣污染物排放量推估,4,2
4,1. 整地作業粒狀污染物逸散,5,3
5,2. 施工區內施工車輛及施工機具之廢氣排放,5,3
6,3. 施工區外運輸車輛之廢氣排放,5,3
7,(二) 模式模擬條件設定,4,2
8,1. 工區內排放空氣污染物模式模擬條件設定,5,7
9,(1) 模式模擬範圍及網格設定,6,8
10,(2) 排放設定,6,8
11,(3) 受體點資料,6,8
12,(4) 其他施工期間 模擬條件設定及使用參數,6,8
13,2. 工區外運輸車 輛排放空氣污染物模式模擬條件設定,5,7
14,(三) 模式模擬結果及影響分析,4,2
15,1. 工區內施工作業空氣污染物排放之模擬結果及影響 說明,5,14
16,(1) 懸浮微粒 (PM 10),6,15
17,(2) 細懸浮微粒 (PM 2.5),6,15
18,(3) 二氧化硫 (SO 2),6,15
19,(4) 二氧化氮 (NO 2),6,15
20,2. 工區外運輸卡車空氣污染物排放之模擬結果及影響 說明,5,14
21,二、營運期間,3,1
22,(一) 空污總量之檢討分析,4,21
23,1. 本計畫氮氧化物 排放量,5,22
24,2. 本計畫空污總量檢討之範疇界定,5,22
25,3. 大六機空污改善已取得之削減量差額及未來使用方式說明,5,22
26,4. 本計畫新機組運轉後空污總量分析,5,22
27,(1) 由於新建機組排放主要以氮氧化物 (NOx)為主，因此首先針對 全廠氮氧化物,6,26
28,A. 既有燃氣機組 大六機,7,27
29,B. 本計畫新建機組,7,27
30,C. 全廠機組 NOx排放量總計,7,27
31,(2) 本計畫新機組粒狀物及 硫氧化物排放皆屬微量， 分別以年平均排放濃度 約,6,26
32,(二) 原生性空氣污染物 (NO 2)模式模擬及影響分析,4,21
33,1. 模式模擬條件設定,5,32
34,2. 新建機組二氧化氮 (NO 2)模擬結果及影響分析,5,32
35,(1) 模擬範圍內 NO 2小時平均值最大增量濃度,6,34
36,(2) 模擬範圍內 NO 2年平均值最大增量濃度,6,34
37,(3) 各鄰近敏感點 NO 2最大增量濃度,6,34
38,(4) 綜合影響說明,6,34
39,(三) 衍生性空氣污染物 (O3、PM 10及PM 2.5)模擬結果及影響 評估,4,21
40,1. 模式模擬執行方式,5,39
41,2. 模擬程序及條件設定,5,39
42,3. 模式性能評估,5,39
43,4. 本計畫輸入網格空品模式模擬之污染源排放 資料,5,39
44,5. 最大濃度增量之計算方式,5,39
45,6. 營運期間 臭氧 (O3)模擬結果及影響評估,5,39
46,(1) O 3小時平均值最大增量濃度,6,45
47,(2) O 3八小時平均值最大增量濃度,6,45
48,(3) 各敏感點臭氧最大增量濃度,6,45
49,(4) 綜合影響說明,6,45
50,7. 營運期間 懸浮微粒 (PM 10)及細懸浮微粒 (PM 2.5)模擬結果及影響 評估,5,39
51,(1) PM 10日平均值及年平均值最大增量濃度,6,50
52,(2) PM 2.5日平均值及年平均值最大增量濃度,6,50
53,(3) 各敏感點 PM 10、PM 2.5最大增量濃度,6,50
54,(4) 綜合影響說明,6,50
55,7.1.2 溫室氣體,2,0
56,一、施工期間溫室氣體排放量,3,55
57,(一) 施工機具,4,56
58,(二) 化糞池 (水肥 ),4,56
59,二、營運期間新增機組溫室氣體排放 量推估,3,55
60,(一) 天然氣使用量,4,59
61,(二) 天然氣排放係數,4,59
62,(四) 溫室氣體排放量,4,59
63,三、既有大六機溫室氣體總量抵減效益,3,55
64,四、本計畫節能減碳對策,3,55
65,(一) 設置太陽能系統,4,64
66,(二) 植栽規劃,4,64
67,1. 本計畫綠地範圍及紅毛港文化園區新增植栽之總固碳當量,5,66
68,2. 本計畫將 協助高雄市政府需求於南星路、 小港區及 林園區等周邊種植至少,5,66
69,3. 綜上，本計畫新增植栽 (含協助高雄市需求於南星路 、小港區 及林園區等周邊,5,66
