proj_id,group_id,title,cat
0991920594,5412,清淨家園全民運動顧厝邊部落格綠色生活(EcoLife)網地方機關績效評比系統建構計畫(另開新視窗),07
0994039065,5412,嘉義市「營造永續優質環境衛生計劃」-「全面強化街道及住家環境清理案」(另開新視窗),07
0999051133,5412,99年綠島鄉及蘭嶼鄉環境衛生管理計畫(另開新視窗),07
0997330869,5412,嘉義市「營造永續優質環境衛生計劃」-「環保團體執行村里整潔度實地考核」(另開新視窗),07
0999096901,5412,99年度嘉義市營造永續優質環境衛生計畫-推動學生參與居家至學校環境巡檢照顧計畫(另開新視窗),07
0992162235,5412,99年度包裝及盛裝飲用水水源水質檢驗工作計畫(另開新視窗),07
0982883768,5412,南投縣98年度台灣鋏蠓〈俗稱:小黑蚊〉防治工作計畫(另開新視窗),07
0981427458,5412,南投縣98年度台灣鋏蠓(小黑蚊)防治工作計畫(另開新視窗),07
0988824524,5412,98年度高雄市水質調查輔導計畫(另開新視窗),07
0986919303,5412,98年度台東縣綠島鄉及蘭嶼鄉飲用水品質監測計畫(另開新視窗),07
EVZXLRHNQS,5412,98年清淨樂活·環保永續宣導專案工作計畫(另開新視窗),07
0982786039,5412,98年綠島鄉及蘭嶼鄉環境衛生管理計畫(另開新視窗),07
EAFCYVXSNR,5412,清淨家園全民運動-環境清潔維護考核專案工作計畫(另開新視窗),07
RCFJYSGNLI,5412,98年度「清淨家園全民運動顧厝邊部落格綠色生活(EcoLife)網建置計畫」(另開新視窗),07
HMADRNICEJ,5412,98年度飲用水水源水質保護區地理資訊系統整合建置及擴充計畫(另開新視窗),07
0989932298,5412,清淨家園顧厝邊綠色生活網企業行動計畫(另開新視窗),07
0972816228,5412,97年度高雄市集合式住宅水質調查輔導計畫(另開新視窗),07
BFHGYWZMPQ,5412,推動營造永續優質環境衛生計畫(另開新視窗),07
IJPREUCMVX,5412,97年度街道揚塵洗掃效益評估管理計畫(另開新視窗),07
GBSEUMLRXO,5412,清淨家園鐵馬行巡透透(另開新視窗),07
TMGZIWKDXV,5412,97年臺中縣街道揚塵洗掃計畫(另開新視窗),07
PTZUBLOMJK,5412,宜蘭縣97年度民有民營街道揚塵洗掃計畫(另開新視窗),07
UNYOFLEZVC,5412,台東縣民有民營街道揚塵洗掃計畫(另開新視窗),07
GLJDEMYIHU,5412,97年度臺中市街道揚塵洗除計畫(另開新視窗),07
BXINLEVPAZ,5412,研擬清潔服務業證照制度計畫(另開新視窗),07
JMKIUBOEQC,5412,清淨家園全民運動顧厝邊部落格綠色生活 (EcoLife) 網建置計畫(另開新視窗),07
OLQRMDFASK,5412,97年度清淨家園專案管理計畫(另開新視窗),07
MXRCZOJPQB,5412,「清淨家園全民運動」96年度環境清潔維護考核作業計畫(另開新視窗),07
A000000360065,5412,屏東縣加強街道揚塵洗掃暨作業規劃管理計畫-規劃與管理(另開新視窗),07
0960966557,5412,96年度高雄市集合式住宅水質調查輔導計畫(另開新視窗),07
LHSBUTQPXC,5412,96年臺中縣街道揚塵洗掃計畫(另開新視窗),07
IDTFAMLUJR,5412,宜蘭縣96年度民有民營街道揚塵洗掃計畫(另開新視窗),07
REZFWQLCYB,5412,96年度街道揚塵洗掃效益評估管理計畫(另開新視窗),07
UTDPIGLSFE,5412,台南縣「九十六年度加強街道揚塵洗掃計畫」－掃街／洗街民有民營(另開新視窗),07
CLNBQHAKFJ,5412,九十六年度南投縣加強洗掃街工作暨綜合管理計畫(另開新視窗),07
CVIHGMWQJP,5412,台南市九十六年度加強街道揚塵洗掃計畫(另開新視窗),07
UHAODPNTQY,5412,96年度嘉義市加強街道揚塵洗街專案(另開新視窗),07
JLBWPICYVG,5412,95年臺中縣街道揚塵洗掃計畫(另開新視窗),07
NYHGVKIAFB,5412,台南市九十五年度加強街道揚塵洗掃(另開新視窗),07
AUZSMKVERC,5412,災後都會及鄉村地區環境衛生評估指標及其實施機制之研究（二）(另開新視窗),07
A000000360744,5412,研訂環境衛生法（草案）計畫(另開新視窗),07
WOYAZSRUBT,5412,94年臺中縣公有民營街道揚塵洗掃計畫(另開新視窗),07
VZQUWXBMHO,5412,台南市環境保護局九十四年度加強街道揚塵洗掃計畫--民有民營方式辦理(另開新視窗),07
A000000360874,5412,台南縣九十四年度加強街道揚塵洗掃計畫-掃街/洗街民有民營(另開新視窗),07
A000000359480,5412,九十四年度臺中市街道揚塵洗掃計畫(另開新視窗),07
A000000360381,5412,94年度洗掃街工作執行成果綜合管理計畫(另開新視窗),07
A000000360081,5412,「『清淨家園、漂亮台灣』94年度加強環境清潔督導考核及成果維護執行計畫」(另開新視窗),07
A000000359732,5412,災後都會及鄉村地區環境衛生評估指標及其實施機制之研究（一）(另開新視窗),07
HUIPZGSOEJ,5412,93年臺中縣重建區加強街道揚塵洗掃計畫(另開新視窗),07
XSVUJNPQTC,5412,93年臺中縣街道揚塵洗掃計畫(另開新視窗),07
1052117960,5411,縣市層級減碳策略模擬評析與臺美技術合作支援專案工作計畫(另開新視窗),14
1050159263,5411,碳中和及低碳活動推動模式策進方案計畫(另開新視窗),14
1051457995,5411,亞太地區汞監測網及環境監測技術聯合中心(另開新視窗),14
1050577138,5411,臺歐盟跨境溫室氣體觀測分析與策略規劃推動專案工作計畫(另開新視窗),14
1050357437,5411,推動我國溫室氣體減量執行策略與跨部會協作機制(另開新視窗),14
1050030271,5411,產業因應溫室氣體管理衝擊評估暨減量成本分析計畫(另開新視窗),14
1050573530,5411,我國氣候變遷調適策略整合與發展研析專案(另開新視窗),14
1050893676,5411,推動『國際環境夥伴計畫與臺美環保技術合作協定』國際事務行政支援暨網站建置整合計畫(另開新視窗),14
1051250797,5411,105年臺中市溫室氣體減量暨國際交流會議推動計畫(另開新視窗),14
1052771608,5411,建置溫室氣體減量及管理專法配套制度與效益評析(另開新視窗),14
1050854253,5411,參與聯合國氣候變化綱要公約整體因應策略研析(另開新視窗),14
1050374608,5411,國家環境相關溫室氣體清冊統計與精進管理計畫(另開新視窗),14
1050955257,5411,105年發行英文環保政策月刊暨製作英語及西語多媒體業務簡報專案工作計畫(另開新視窗),14
1053468802,5411,國際環保動態資訊蒐集及趨勢分析(另開新視窗),14
1050724535,5411,推動地方政府溫室氣體盤查與因應氣候變遷調適策略專案工作計畫(另開新視窗),14
1052505976,5411,105-106年度環境保護產品規格標準第1年(2年計畫)專案工作計畫(另開新視窗),14
1052361095,5411,105-106年度產品碳標籤核發及推廣第1年(2年計畫)專案工作計畫(另開新視窗),14
1041838462,5411,104年兩岸環境用藥管理及病媒防治技術交流計畫(另開新視窗),14
1040492762,5411,低碳韌性城市國際連結機制探討專案工作計畫(另開新視窗),14
1041537286,5411,氣候變遷調適規劃及推展夥伴聯盟策略專案工作計畫(另開新視窗),14
1040045309,5411,「推動建置我國溫室氣體管理基金管理機制」專案工作計畫(另開新視窗),14
1043457038,5411,104年臺南市節能減碳宣導推動計畫(另開新視窗),14
1041209709,5411,推動我國溫室氣體減量管理市場準備能力建構與國際合作(另開新視窗),14
1041003679,5411,區域節能減碳評析與國際環保合作專案工作計畫(另開新視窗),14
1040134955,5411,開發案溫室氣體監督管理與額度市場供需評估(另開新視窗),14
1040008064,5411,兩岸氣候變遷學術交流合作與規劃推動(另開新視窗),14
1040666782,5411,104年度臺中市氣候變遷調適計畫(另開新視窗),14
1040427418,5411,參與聯合國氣候變化公約策略研析與推動(另開新視窗),14
1043080129,5411,我國自主決定預期貢獻與低碳發展策略研析專案工作計畫(另開新視窗),14
1040545609,5411,104年臺中市低碳社區推動計畫(另開新視窗),14
1040049972,5411,兩岸資源回收與廢棄物管理環保服務業交流平臺專案工作計畫(另開新視窗),14
1040076367,5411,建構低碳臺灣策略 - 碳減量及交易整合先期規劃(另開新視窗),14
1041696136,5411,低碳永續家園維運與認證評等推動專案工作計畫(另開新視窗),14
1040236989,5411,104年發行英文環保政策月刊暨 製作英語及西語多媒體業務簡報專案工作計畫(另開新視窗),14
1040659990,5411,103-104年度產品碳標籤核發及推廣第2年(2年計畫)專案工作計畫(另開新視窗),14
1040863847,5411,桃園市土壤及地下水污染示範交流與觀摩計畫(另開新視窗),14
1040370614,5411,國際環保動態資訊蒐集及趨勢分析(另開新視窗),14
1041741181,5411,104年推廣環境奈米科技知識平台及知識整合計畫(另開新視窗),14
1035409689,5411,2014年兩岸土壤地下水及底泥環境保護領域交流工作計畫(另開新視窗),14
1039147532,5411,103年度「兩岸環保服務業交流平臺之『節能減碳』分組」專案工作計畫(另開新視窗),14
1033726235,5411,空氣品質管理策略交流平臺及對外合作專案計畫(另開新視窗),14
1038569653,5411,兩岸大氣保護交流工作推動管理計畫(另開新視窗),14
1039888099,5411,提升全民因應氣候變遷執行計畫(另開新視窗),14
1039021449,5411,產業溫室氣體減量成本與經濟衝擊評估專案工作計畫(另開新視窗),14
1033658533 ,5411,列管污染源資料查詢系統改版及功能強化案(另開新視窗),14
1038424235,5411,推展氣候變遷調適國際合作策略研析專案工作計畫(另開新視窗),14
1033523008,5411,提升我國溫室氣體認證及查驗管理制度專案工作計畫(另開新視窗),14
1030534491,5411,台歐盟跨境溫室氣體觀測分析與策略規劃推動專案工作計畫(另開新視窗),14
1037722014,5411,蒙特婁議定書管制物質削減管理及替代品分析(另開新視窗),14
