指令,用途,詳細選項
#,length of variable,"myvar=""some string"";echo ${#myvar}  ->11
i=asdfa.nc
l=$(echo ${#i}); m=$(( $l - 3 ));j=$(echo $i|cut -c 1-$m);echo $j;->asdfa"
"${VAR/old/new}
${VAR//old/new}","置換環境變數的內容
(/置換第一個、//全置換)","a=COMBINE_ACONC_v53_gcc_1601_run12_20160131_TWN_3X3_10X.nc;b=${a/10X/10F}
$ echo $b
COMBINE_ACONC_v53_gcc_1601_run12_20160131_TWN_3X3_10F.nc
"
%,切字串-刪字元之右,"url=http://163.29.251.188/botedata/%E4%BA%A4%E9%80%9A%E6%B5%81%E9%87%8F/105%E5%B9%B4%E5%BA%A6/105%E5%B9%B4%E5%BA%A6%E8%87%BA%E5%8C%97%E5%B8%82%E4%BA%A4%E9%80%9A%E6%B5%81%E9%87%8F%E5%8F%8A%E7%89%B9%E6%80%A7%E8%AA%BF%E6%9F%A5.files/sheet001.htm
strA=$url
 strB=`echo ${strA%/*}`
strC=`echo ${strB%/*}`
echo $strC
http://163.29.251.188/botedata/%E4%BA%A4%E9%80%9A%E6%B5%81%E9%87%8F/105%E5%B9%B4%E5%BA%A6"
[…],"1.陣列之呼叫
2.正規命名之可替代變數","for i in {1..3};do ABC[$(( $i - 1 ))]=$i.S.grd02; done
2.rm fortBE.[01234]13"
{…},loop domain,
10#,以10為基底的計算,"Value too great for base (error token is “08”) 
if [[ $((10#$vara)) -lt $((10#$varb)) ]] (一定要var?)"
ARRAY USAGE,,"$ more MONTH.cs
#Bbrate=(1.55 1.18 1.15 1.18 0.73 0.63 0.58 0.56 0.44 1.07 1.35 1.60)
#B2 brate=(1.76 1.39 1.36 1.39 0.24 0.21 0.19 0.19 0.65 1.28 1.55 1.80)
#B3 brate=(1.83 1.46 1.43 1.46 0.24 0.21 0.19 0.19 0.15 1.35 1.63 1.87 )
       1    2    3    4    5    6    7    8    9    10   11   12
brate=(2.06 1.35 1.40 1.50 1.30 0.39 0.25 0.24 0.6  1.24 1.60 1.63)
srate=(1.05 1.15 1.15 1.05 1.05 1.20 1.20 1.20 1.20 1.20 1.05 1.05)
vrate=(1.00 1.00 1.00 1.00 0.90 0.90 0.90 0.90 0.90 1.00 1.00 1.10)
prate=(1.00 1.00 1.00 0.80 1.00 1.00 1.00 1.00 1.00 1.00 0.75 1.00)
orate=(1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.80 1.00 0.75 1.00)
#for m in 1 5 9 2 6 10 3 7 11 4 8 12;do
for m in 9;do
n=$(( m - 1 ))
test $m -lt 10 && m='0'$m
rm -f emteds.inp
cp teds90-0/emteds.inp.BLK emteds.inp
for cmd in ""s/MM/""$m/ ""s/nox/""${brate[$n]}/  ""s/sox/""${srate[$n]}/ \
 ""s/voc/""${vrate[$n]}/ ""s/tsp/""${prate[$n]}/ ""s/ole/""${orate[$n]}/ ;do
sed -i $cmd emteds.inp
done
em-cnty-teds9M
rm -f olds/fortBE.013
mv fortBE.T13 olds/fortBE.013
ems1-4-pM
for j in 1 2 3 4;do
mv fortBE.$j""13"" teds90-0/fortBE$m.$j""13""
done
done
----
all of array: echo ${a[@]} |wc
"
at,"(batch, jobs)",
atq,詢問At狀況,
atrm,Remove a job,
awk,選取欄位,"$ ls -l |grep '>' |sed 's/-.*$//g' | sed 's/lrwxrwxrwx/rm/g'|awk '{print $1 ""\t"" $9}' >rmm
$ cat ~/bin/awkk
awk '{print $'$1'}' (awkk n, n=1,2,…列出第n行內容)"
bc, An arbitrary precision calculator language,"mod=$(echo ""$mod*(-1)"" |bc -l)
'-l, --mathlib
       In /bin/sh,  the following will assign the value of ""pi"" to the shell variable pi.

              pi=$(echo ""scale=10; 4*a(1)"" | bc -l)

       The following is the definition of the exponential function used in  the  math  library.   This
       function is written in POSIX bc.

              scale = 20

              /* Uses the fact that e^x = (e^(x/2))^2
                 When x is small enough, we use the series:
                   e^x = 1 + x + x^2/2! + x^3/3! + ...
              */

              define e(x) {
                auto  a, d, e, f, i, m, v, z

                /* Check the sign of x. */
                if (x<0) {
                  m = 1
                  x = -x
                }

                /* Precondition x. */
                z = scale;
                scale = 4 + z + .44*x;
                while (x > 1) {
                  f += 1;
                  x /= 2;
                }

                /* Initialize the variables. */
                v = 1+x
                a = x
                d = 1

                for (i=2; 1; i++) {
                  e = (a *= x) / (d *= i)
                  if (e == 0) {
                    if (f>0) while (f--)  v = v*v;
                    scale = z
                    if (m) return (1/v);
                    return (v/1);
                  }
                  v += e
                }
              }
       The  following  is code that uses the extended features of bc to implement a simple program for
       calculating checkbook balances.  This program is best kept in a file so that  it  can  be  used
       many times without having to retype it at every use.

              scale=2
              print ""\nCheck book program!\n""
              print ""  Remember, deposits are negative transactions.\n""
              print ""  Exit by a 0 transaction.\n\n""

              print ""Initial balance? ""; bal = read()
              bal /= 1
              print ""\n""
              while (1) {
                ""current balance = ""; bal
                ""transaction? ""; trans = read()
                if (trans == 0) break;
                bal -= trans
                bal /= 1
              }
              quit

       The following is the definition of the recursive factorial function.

              define f (x) {
                if (x <= 1) return (1);
                return (f(x-1) * x);
              }
"
break,停止執行loop,break n停止執行第n個迴圈
c++,C compiler,
cal,月曆,
cat,顯示文字檔,
cd,Change dir,
chgrp,change group,chgrp -R newgroup file/directory
chmod,更改檔案屬性,
chown,更改所有權,
clear,清掃螢幕,
