cat,案號,主管機關,名稱,類別,進度,說明
B01,1120151B,新北市,艾司摩爾林口工一廠區新建工程環境影響說明書,說明書,審查中,
B01,1120101D,桃園市,軒銘科技股份有限公司大溪廠建廠計畫環境影響說明書,說明書,通過審查,112年8月25日函文定稿本，府環…
B01,1120081F,苗栗縣,年興紡織股份有限公司補辦特定工廠登記環境影響說明書,說明書,審查中,本書件為修正本
B01,1120061D,桃園市,晉大陶瓷股份有限公司桃園市龍潭區金龍段281地號等33筆土地申請興建工廠開發案環境影響說明書,說明書,審查中,
B01,1120051X,高雄市,貞記企業有限公司新設計畫環境影響說明書,說明書,審查中,112.09 修正二版
B01,1120031H,彰化縣,曄中科技有限公司二廠環境影響說明書,說明書,審查中,本書件為112年11月初稿
B01,1110181D,桃園市,翔聯楊梅廠毗連增建工程環境影響說明書,說明書,通過審查,112年7月20日函文定稿本，府環…
B01,1110171F,苗栗縣,嘉達興業有限公司毗連非都市土地擴展計畫案環境影響說明書,說明書,審查中,本書件為修正本
B01,1110141D,桃園市,美立堅科技股份有限公司大溪廠開發計畫環境影響說明書,說明書,審查中,
B01,1110131D,桃園市,國統毯業大溪廠環境影響說明書,說明書,審查中,
B01,1040111T,臺中市,仕興機械工業股份有限公司環境影響說明書,說明書,有條件通過,定稿本
B01,1040101T,臺中市,臺中港自由貿易港區投資建廠計畫環境影響說明書,說明書,退件/撤銷/駁回,本案依據開發單位104年7月7日橋…
B01,1040061H,彰化縣,綠點高新科技股份有限公司彰化廠變更環境影響說明書,說明書,廢止結論,111年11月14日，彰化縣政府府…
B01,1040061N,屏東縣,剛健鋼鐵工業股份有限公司申請報編工業區環境影響說明書,說明書,退件/撤銷/駁回,
B01,1040053D,桃園市,台益豐工廠興建工程環境影響差異分析報告(第二次修正本),差異分析報告,審核修正通過,
B01,1040041D,桃園市,鋐昌工業股份有限公司申請未登記工廠補辦臨時工廠登記環境影響說明書,說明書,退件/撤銷/駁回,
B01,1040021T,臺中市,喬山健康科技股份有限公司環境影響說明書,說明書,通過審查,定稿本
B01,1030673A,環境部,大林煉油廠油品脫硫計畫第二次環境影響差異分析報告,差異分析報告,審核修正通過,
B01,1030391T,臺中市,漢翔航空工業股份有限公司沙鹿北廠區4.13公頃土地開發案變更環境影響說明書,說明書,通過審查,定稿本
B01,1030301X,高雄市,信濃水泥製品實業有限公司預拌混凝土廠開發計畫環境影響說明書,說明書,通過審查,定稿本(201508)
B01,1030271X,高雄市,高雄市甲仙地區農會觀光休閒農產加工廠環境影響說明書,說明書,通過審查,2015.09
B01,1030171D,桃園市,傳貴宏業生機有限公司申請補辦臨時工廠登記案環境影響說明書,說明書,通過審查,
B01,1030161T,臺中市,台中眾鈴汽車有限公司外埔廠區設廠計畫環境影響說明書,說明書,通過審查,定稿本
B01,1030151T,臺中市,漢翔航空工業股份有限公司沙鹿北二廠區開發案環境影響說明書,說明書,通過審查,定稿本
